Elapsed - Replicas - Running - Unavailable
1 - 64 - 64 - 0
3 - 64 - 64 - 0
5 - 64 - 64 - 0
7 - 64 - 64 - 0
10 - 64 - 62 - 2
12 - 64 - 62 - 4
15 - 64 - 59 - 3
18 - 64 - 59 - 6
22 - 64 - 55 - 10
26 - 64 - 55 - 8
29 - 64 - 59 - 5
32 - 64 - 59 - 7
35 - 64 - 56 - 7
37 - 64 - 62 - 2
40 - 64 - 59 - 6
42 - 64 - 58 - 7
45 - 64 - 59 - 6
47 - 64 - 61 - 4
50 - 64 - 58 - 9
53 - 64 - 60 - 4
56 - 64 - 62 - 2
59 - 64 - 63 - 0
61 - 64 - 61 - 2
64 - 64 - 62 - 3
66 - 64 - 61 - 3
68 - 64 - 57 - 7
71 - 64 - 57 - 7
73 - 64 - 54 - 10
76 - 64 - 54 - 11
79 - 64 - 51 - 16
82 - 64 - 50 - 18
85 - 64 - 47 - 22
89 - 64 - 47 - 22
93 - 64 - 44 - 28
96 - 64 - 43 - 28
100 - 64 - 44 - 31
103 - 64 - 43 - 33
107 - 64 - 41 - 35
111 - 64 - 41 - 35
114 - 64 - 41 - 35
118 - 64 - 40 - 37
123 - 64 - 41 - 35
126 - 64 - 40 - 34
130 - 64 - 40 - 34
134 - 64 - 38 - 34
137 - 64 - 38 - 37
140 - 64 - 37 - 37
144 - 64 - 33 - 39
148 - 64 - 31 - 41
152 - 64 - 31 - 39
