Elapsed - Replicas - Running - Unavailable
1 - 16 - 16 - 0
3 - 16 - 16 - 0
5 - 16 - 16 - 0
7 - 16 - 16 - 0
9 - 16 - 16 - 0
13 - 16 - 9 - 8
17 - 16 - 2 - 14
20 - 16 - 7 - 8
22 - 16 - 12 - 3
24 - 16 - 16 - 1
27 - 16 - 12 - 4
29 - 16 - 8 - 8
32 - 16 - 1 - 15
34 - 16 - 0 - 16
36 - 16 - 0 - 16
38 - 16 - 0 - 19
41 - 16 - 0 - 21
44 - 16 - 3 - 20
48 - 16 - 4 - 23
53 - 16 - 4 - 26
58 - 16 - 5 - 27
62 - 16 - 4 - 27
66 - 16 - 3 - 25
71 - 16 - 1 - 25
75 - 16 - 0 - 21
78 - 16 - 3 - 15
80 - 16 - 9 - 9
83 - 16 - 12 - 4
86 - 16 - 13 - 2
89 - 16 - 11 - 5
91 - 16 - 10 - 6
94 - 16 - 12 - 6
97 - 16 - 11 - 7
100 - 16 - 13 - 3
102 - 16 - 12 - 7
106 - 16 - 12 - 7
110 - 16 - 9 - 11
114 - 16 - 5 - 15
116 - 16 - 5 - 10
119 - 16 - 11 - 5
121 - 16 - 10 - 6
123 - 16 - 9 - 8
125 - 16 - 9 - 8
129 - 16 - 9 - 12
134 - 16 - 9 - 13
139 - 16 - 3 - 17
143 - 16 - 2 - 18
146 - 16 - 4 - 17
149 - 16 - 7 - 13
154 - 16 - 9 - 11
160 - 16 - 10 - 10
171 - 16 - 11 - 10
196 - 16 - 11 - 10
198 - 16 - 11 - 10
200 - 16 - 11 - 10
202 - 16 - 11 - 10
204 - 16 - 11 - 11
206 - 16 - 9 - 11
211 - 16 - 9 - 11
213 - 16 - 8 - 11
215 - 16 - 8 - 9
217 - 16 - 10 - 7
221 - 16 - 9 - 6
224 - 16 - 11 - 6
227 - 16 - 8 - 11
231 - 16 - 5 - 14
234 - 16 - 3 - 16
238 - 16 - 3 - 17
243 - 16 - 3 - 21
Elapsed - Replicas - Running - Unavailable
1 - 16 - 16 - 0
3 - 16 - 16 - 0
5 - 16 - 16 - 0
7 - 16 - 16 - 0
9 - 16 - 16 - 0
11 - 16 - 15 - 2
14 - 16 - 10 - 7
17 - 16 - 7 - 7
19 - 16 - 9 - 8
21 - 16 - 11 - 4
24 - 16 - 13 - 2
25 - 16 - 14 - 2
28 - 16 - 12 - 4
30 - 16 - 8 - 8
32 - 16 - 4 - 12
34 - 16 - 0 - 16
36 - 16 - 0 - 18
39 - 16 - 1 - 17
41 - 16 - 3 - 18
45 - 16 - 3 - 22
48 - 16 - 3 - 21
51 - 16 - 3 - 22
54 - 16 - 3 - 23
57 - 16 - 2 - 24
60 - 16 - 1 - 24
63 - 16 - 0 - 24
65 - 16 - 2 - 20
69 - 16 - 3 - 16
72 - 16 - 10 - 8
75 - 16 - 12 - 5
77 - 16 - 13 - 4
79 - 16 - 12 - 5
82 - 16 - 12 - 3
84 - 16 - 14 - 2
86 - 16 - 14 - 3
88 - 16 - 13 - 4
91 - 16 - 13 - 4
94 - 16 - 11 - 5
96 - 16 - 11 - 5
98 - 16 - 7 - 9
100 - 16 - 4 - 13
103 - 16 - 3 - 15
105 - 16 - 2 - 16
107 - 16 - 3 - 16
110 - 16 - 5 - 16
113 - 16 - 5 - 20
116 - 16 - 5 - 18
120 - 16 - 4 - 19
123 - 16 - 3 - 23
126 - 16 - 0 - 24
130 - 16 - 1 - 21
133 - 16 - 1 - 18
135 - 16 - 5 - 13
138 - 16 - 9 - 8
141 - 16 - 13 - 4
143 - 16 - 12 - 5
145 - 16 - 12 - 3
147 - 16 - 13 - 2
150 - 16 - 14 - 3
152 - 16 - 15 - 2
154 - 16 - 14 - 3
156 - 16 - 13 - 3
158 - 16 - 13 - 4
161 - 16 - 13 - 2
163 - 16 - 14 - 3
165 - 16 - 13 - 6
168 - 16 - 12 - 6
171 - 16 - 11 - 4
173 - 16 - 8 - 9
176 - 16 - 4 - 10
178 - 16 - 6 - 11
180 - 16 - 6 - 10
182 - 16 - 6 - 14
185 - 16 - 5 - 16
188 - 16 - 5 - 18
192 - 16 - 4 - 20
196 - 16 - 5 - 20
199 - 16 - 6 - 18
Elapsed - Replicas - Running - Unavailable
1 - 16 - 16 - 0
3 - 16 - 16 - 0
5 - 16 - 16 - 0
7 - 16 - 16 - 0
9 - 16 - 16 - 0
12 - 16 - 12 - 6
15 - 16 - 9 - 9
18 - 16 - 5 - 10
20 - 16 - 13 - 2
23 - 16 - 10 - 6
26 - 16 - 7 - 9
28 - 16 - 7 - 10
31 - 16 - 8 - 10
35 - 16 - 8 - 14
40 - 16 - 9 - 15
45 - 16 - 9 - 13
48 - 16 - 9 - 11
53 - 16 - 10 - 10
57 - 16 - 10 - 4
59 - 16 - 16 - 0
61 - 16 - 16 - 0
64 - 16 - 16 - 0
66 - 16 - 16 - 0
68 - 16 - 16 - 0
70 - 16 - 16 - 0
72 - 16 - 16 - 0
74 - 16 - 16 - 0
76 - 16 - 16 - 0
78 - 16 - 16 - 0
