Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
3 - 0 - 0 - 0
5 - 1 - 0 - 1
7 - 1 - 1 - 0
9 - 1 - 1 - 0
10 - 3 - 1 - 2
13 - 3 - 3 - 0
18 - 3 - 2 - 1
21 - 3 - 3 - 0
23 - 3 - 3 - 0
27 - 3 - 1 - 1
30 - 3 - 3 - 0
32 - 3 - 3 - 0
35 - 3 - 2 - 1
37 - 3 - 2 - 1
39 - 3 - 2 - 1
41 - 3 - 2 - 1
44 - 3 - 0 - 3
46 - 3 - 0 - 4
48 - 3 - 1 - 3
50 - 3 - 1 - 3
52 - 3 - 1 - 3
58 - 3 - 1 - 4
61 - 3 - 1 - 4
65 - 3 - 1 - 3
68 - 3 - 3 - 0
70 - 3 - 3 - 0
72 - 3 - 3 - 0
73 - 3 - 3 - 0
75 - 3 - 3 - 0
78 - 3 - 3 - 1
80 - 3 - 3 - 0
82 - 3 - 3 - 0
84 - 3 - 3 - 0
87 - 3 - 1 - 2
89 - 3 - 2 - 1
91 - 3 - 2 - 1
93 - 3 - 2 - 2
96 - 3 - 1 - 2
98 - 3 - 1 - 3
100 - 3 - 2 - 2
104 - 3 - 2 - 1
106 - 3 - 1 - 3
110 - 3 - 2 - 2
112 - 3 - 2 - 2
114 - 3 - 2 - 2
118 - 3 - 1 - 1
121 - 3 - 2 - 1
123 - 3 - 2 - 1
125 - 3 - 1 - 3
129 - 3 - 2 - 1
131 - 3 - 3 - 1
134 - 3 - 2 - 1
136 - 3 - 2 - 1
138 - 3 - 2 - 1
140 - 3 - 2 - 1
142 - 3 - 2 - 1
144 - 3 - 2 - 2
148 - 3 - 1 - 3
150 - 3 - 2 - 2
152 - 3 - 1 - 3
159 - 3 - 2 - 1
161 - 3 - 2 - 2
163 - 3 - 2 - 1
166 - 3 - 3 - 1
168 - 3 - 3 - 1
171 - 3 - 3 - 0
174 - 3 - 2 - 1
176 - 3 - 2 - 1
178 - 3 - 2 - 1
180 - 3 - 2 - 1
182 - 3 - 2 - 2
184 - 3 - 2 - 2
186 - 3 - 3 - 1
188 - 3 - 3 - 1
190 - 3 - 3 - 1
192 - 3 - 3 - 1
196 - 3 - 2 - 1
197 - 3 - 2 - 1
200 - 3 - 2 - 1
202 - 3 - 0 - 3
205 - 3 - 1 - 2
207 - 3 - 1 - 3
210 - 3 - 2 - 2
215 - 3 - 2 - 3
218 - 3 - 2 - 2
221 - 3 - 2 - 2
225 - 3 - 2 - 1
227 - 3 - 2 - 1
229 - 3 - 2 - 1
231 - 3 - 2 - 1
233 - 3 - 2 - 1
235 - 3 - 1 - 2
238 - 3 - 2 - 2
241 - 3 - 3 - 1
245 - 3 - 2 - 2
248 - 3 - 3 - 0
250 - 3 - 3 - 0
252 - 3 - 3 - 0
254 - 3 - 3 - 0
256 - 3 - 3 - 1
260 - 3 - 1 - 2
262 - 3 - 2 - 1
264 - 3 - 2 - 1
266 - 3 - 2 - 1
268 - 3 - 2 - 1
270 - 3 - 2 - 2
273 - 3 - 2 - 3
277 - 3 - 1 - 3
280 - 3 - 2 - 2
282 - 3 - 1 - 2
284 - 3 - 1 - 2
286 - 3 - 1 - 2
288 - 3 - 1 - 2
289 - 3 - 1 - 3
291 - 3 - 2 - 3
294 - 3 - 3 - 2
301 - 3 - 2 - 3
305 - 3 - 3 - 0
307 - 3 - 3 - 0
309 - 3 - 3 - 0
311 - 3 - 3 - 0
313 - 3 - 2 - 1
317 - 3 - 3 - 0
318 - 3 - 3 - 0
320 - 3 - 3 - 0
322 - 3 - 3 - 0
324 - 3 - 3 - 0
328 - 3 - 1 - 2
331 - 3 - 2 - 1
333 - 3 - 2 - 1
335 - 3 - 1 - 2
337 - 3 - 1 - 2
339 - 3 - 1 - 2
341 - 3 - 1 - 2
343 - 3 - 1 - 2
345 - 3 - 1 - 3
347 - 3 - 2 - 3
350 - 3 - 2 - 3
352 - 3 - 3 - 2
355 - 3 - 2 - 3
357 - 3 - 2 - 1
359 - 3 - 2 - 1
361 - 3 - 2 - 1
363 - 3 - 2 - 1
365 - 3 - 2 - 1
367 - 3 - 1 - 3
374 - 3 - 2 - 2
379 - 3 - 3 - 1
383 - 3 - 3 - 0
385 - 3 - 3 - 0
387 - 3 - 3 - 0
389 - 3 - 3 - 0
391 - 3 - 3 - 0
393 - 3 - 3 - 0
396 - 3 - 2 - 1
397 - 3 - 2 - 1
399 - 3 - 2 - 1
401 - 3 - 2 - 1
403 - 3 - 2 - 1
405 - 3 - 1 - 3
408 - 3 - 2 - 2
410 - 3 - 1 - 3
412 - 3 - 2 - 2
414 - 3 - 2 - 1
416 - 3 - 2 - 1
418 - 3 - 2 - 1
420 - 3 - 2 - 1
422 - 3 - 2 - 2
424 - 3 - 3 - 1
427 - 3 - 3 - 1
429 - 3 - 3 - 1
431 - 3 - 2 - 1
433 - 3 - 2 - 1
435 - 3 - 2 - 1
437 - 3 - 2 - 1
439 - 3 - 2 - 1
441 - 3 - 2 - 1
443 - 3 - 2 - 1
445 - 3 - 1 - 3
451 - 3 - 2 - 2
452 - 3 - 2 - 1
455 - 3 - 2 - 1
457 - 3 - 2 - 1
458 - 3 - 2 - 1
460 - 3 - 2 - 1
462 - 3 - 2 - 2
