Strategy,MinProcessingTime,MaxProcessingTime,AvgProcessingTime,MinStartUpTime,MaxStartUpTime,AvgStartUpTime,MinNextResponseTime,MaxNextResponseTime,AvgNextResponseTime,MinBatchProcessingTime,MaxBatchProcessingTime,AvgBatchProcessingTime,MinBatchSize,MaxBatchSize,AvgBatchSize,minSequenceLength,maxSequenceLength,AvgSequenceLength,MinWaitTime,MaxWaitTime,AvgWaitTime,TotalSentQueries,TotalBatches,TotalExecutionTime
keda_p1_hpa15_d100%150,109157687,830865933,447581557,89450030,220936597,112299743,3569355,274067903547,5596971389,437561,276746029411,10828474078,1,4,1,1,6,3,108,828,446,118,61,660894103873
keda_p1_hpa15_d100%150,108754850,788178903,449629713,87934486,258784220,111483742,13970481,20181938591,3310846080,387610,33950999203,6406172906,1,4,1,1,6,3,108,787,448,118,61,391092223011
keda_p1_hpa15_d3000%5000,3017757592,26983908116,14401079409,87849546,209082999,107299445,46082281,38997553756,11212485997,417241,72333979385,21691112932,1,4,1,1,6,3,3017,26983,14399,118,61,1323491958543
keda_p1_hpa15_d500%1000,759244424,5077427471,2708728786,90960932,174665626,110020606,52197587,11339574500,3696962264,374290,20520927440,7153638939,1,4,1,1,6,3,758,5076,2707,118,61,436682980596
keda_p1_hpa15_d5000%10000,5923430199,52079103180,26654429627,87726703,180411140,108363575,66322981,68042200614,18714574135,425667,102787890849,36203681935,1,4,1,1,6,3,5919,52078,26653,118,61,2208766765566
keda_p1_hpa15_d5000%10000,6455278332,46589430233,27114502118,88173930,216073760,109956208,230531947,73094697601,18690681441,400006,99891899334,36157433332,1,4,1,1,6,3,6454,46588,27113,118,61,2205960121933
keda_p1_hpa15_d5000%10000,5792481659,52536167903,27016453852,86262842,177964475,109714973,251240552,1806446860161,35574132402,542612,1830453312473,68817172691,1,4,1,1,6,3,5791,52535,27015,118,61,4198193257235
keda_p1_hpa30_d0%0,370740,2804896,677129,89004104,1436185985,123724476,1708733,18383936229,3436832289,484174,31435019299,6649826185,1,4,1,1,6,3,0,0,0,118,61,405949569192
keda_p1_hpa30_d0%0,338644,2101709,677473,87797418,175484548,109917954,1432982,218771461294,5030062010,489372,240866366657,9731840398,1,4,1,1,6,3,0,0,0,118,61,593952573020
keda_p1_hpa30_d0%0,345909,1706504,682863,90463276,172575492,113855727,883222,17206843594,3876495318,445357,29506247132,7500889040,1,4,1,1,6,3,0,0,0,118,61,457876705111
keda_p1_hpa30_d100%150,115731590,820052920,452019536,89023319,254813908,114335381,3808404,20900325354,3422445158,385578,32293551460,6623169786,1,4,1,1,6,3,114,819,450,118,61,404423043742
keda_p1_hpa30_d100%150,101060060,814507848,450836358,89867539,157479012,108856481,23516042,20467064216,3889054903,357358,32496819844,7526800752,1,4,1,1,6,3,100,813,449,118,61,459477952146
keda_p1_hpa30_d100%150,105440216,787072774,449926129,87778781,194072593,110742654,2883616,8796399063,2884469501,396123,19311726154,5581715174,1,4,1,1,6,3,104,785,448,118,61,340777258440
keda_p1_hpa30_d3000%5000,4407410965,27406990409,14387609865,90808227,161630325,108523366,126726812,42010231290,11525674966,512276,71311458453,22297024019,1,4,1,1,6,3,4406,27406,14386,118,61,1360445187832
keda_p1_hpa30_d500%1000,623128014,5154904097,2693779589,82371947,594003974,117655674,1532312,21215942178,4577223769,494826,35950554695,8855914448,1,4,1,1,6,3,622,5154,2692,118,61,540551888186
keda_p1_hpa30_d500%1000,525939314,4816056338,2695909739,87078624,518731921,110463142,60768702,17244254675,3800082152,504636,32180649993,7352614003,1,4,1,1,6,3,525,4815,2694,118,61,448967712061
keda_p1_hpa30_d5000%10000,5583321109,49776104202,26769175044,85628673,404640624,111782705,153474876,74743436097,19847469307,378627,97324627738,38395087752,1,4,1,1,6,3,5582,49775,26767,118,61,2342445173158
keda_p1_hpa30_d5000%10000,7178322822,50154090146,26791362704,83256817,221324009,110459938,328555437,74780916716,17795933309,426150,87826303590,34426579064,1,4,1,1,6,3,7177,50152,26789,118,61,2100348402894
keda_p1_hpa5_d0%0,378302,2338486,658485,91848601,175660525,111131830,1110994,13115134878,3203265592,412843,21835585356,6198180060,1,4,1,1,6,3,0,0,0,118,61,378378707073
keda_p1_hpa5_d0%0,361523,2913590,686480,89348604,178150834,112483725,1486136,12862495485,3217980540,402697,22784290759,6226549693,1,4,1,1,6,3,0,0,0,118,61,380153639558
keda_p1_hpa5_d0%0,332653,2709617,717875,91027724,167742698,111697278,1346184,19684888456,3057122304,272013,32249713464,5915259566,1,4,1,1,6,3,0,0,0,118,61,361157396229
keda_p1_hpa5_d100%150,101698026,802925424,454434625,87452974,550004769,116044555,7797886,19798389126,3673501295,421495,33117976313,7109885279,1,4,1,1,6,3,101,802,453,118,61,434181957747
keda_p1_hpa5_d100%150,107640069,817903553,451788962,87074872,192054437,109151371,17098475,21534319354,3049305537,401154,29596503665,5900385248,1,4,1,1,6,3,107,817,450,118,61,360237180832
keda_p1_hpa5_d3000%5000,3944819467,25415277916,14347831128,82175061,172365903,107878434,336132017,30799987642,11915498625,376649,63506891850,23051510239,1,4,1,1,6,3,3944,25414,14346,118,61,1406467716793
keda_p1_hpa5_d3000%5000,3021468499,26552172486,14394585825,86032224,370457924,111848455,3067135,35049143667,11302625445,363847,54579861974,21866027942,1,4,1,1,6,3,3020,26551,14393,118,61,1334161594965
keda_p1_hpa5_d500%1000,638259619,5119885462,2695846460,86494017,418205792,111813205,25109480,19051597020,4730719911,577142,28249320637,9152716577,1,4,1,1,6,3,637,5119,2694,118,61,558636206519
keda_p1_hpa5_d5000%10000,5385843090,50279257166,26925054940,86378944,338946098,109747579,228030047,292171272870,22298300388,411550,317912486536,43139407476,1,4,1,1,6,3,5385,50278,26923,118,61,2631811780779
keda_p1_hpa5_d5000%10000,5872151352,50535110974,27296285807,87600978,369314875,111260261,16804920,82025448546,19358570270,501932,82026453299,37449347300,1,4,1,1,6,3,5871,50534,27294,118,61,2284721418521
keda_p1_hpa5_d5000%10000,6665045566,51652060979,26887189419,88565816,6102752802,167745536,1621891,66820187431,16884474234,538664,84362645662,32663257980,1,4,1,1,6,3,6664,51651,26885,118,61,1992799706735
keda_p1_hpa530_d0%0,374385,3633774,688962,89275836,176126011,110942257,1393694,13852984815,3477255434,346156,28855642737,6728405014,1,4,1,1,6,3,0,0,0,118,61,410766360052
keda_p1_hpa530_d0%0,359005,2219542,691925,92888350,194305937,113354490,1530116,20735899836,3403461986,396185,28580951834,6585414941,1,4,1,1,6,3,0,0,0,118,61,402006308080
keda_p1_hpa530_d0%0,355548,4605089,741904,91962029,197276708,111633253,1266210,15142390087,3349381553,485530,24059085470,6481003031,1,4,1,1,6,3,0,0,0,118,61,395691546750
keda_p1_hpa530_d100%150,117706709,769441258,447569311,85433058,248475496,110594155,29575510,18837484921,3773063153,562866,36920014286,7300331098,1,4,1,1,6,3,116,768,446,118,61,445640108210
keda_p1_hpa530_d100%150,102882120,796773863,444376159,88621867,161939412,110385230,5306178,179960366264,5230745468,426857,186304819497,10120128035,1,4,1,1,6,3,102,795,443,118,61,617639170385
keda_p1_hpa530_d3000%5000,3082315765,26714665170,14388160616,83338397,943875904,117406213,37384076,26725794306,11214247353,512854,65539399477,21694714526,1,4,1,1,6,3,3081,26713,14386,118,61,1323703761223
keda_p1_hpa530_d500%1000,656913874,4999296322,2705111977,85142153,341537194,112244719,50730992,22373746585,4648493363,425402,29687207276,8994662300,1,4,1,1,6,3,656,4998,2703,118,61,549112937134
keda_p1_hpa530_d500%1000,545174014,4995601200,2678302672,85434984,163945731,109695145,995016,13237944273,3761408924,540975,22541655692,7278012556,1,4,1,1,6,3,544,4994,2676,118,61,444308712392
keda_p1_hpa530_d5000%10000,5115084465,50278257905,27023430381,87714100,175972959,107626641,113122854,57567046074,19160770648,387910,97496787731,37066478985,1,4,1,1,6,3,5114,50277,27022,118,61,2261401270305
keda_p1_hpa530_d5000%10000,5474322601,51037125691,26811021768,87513673,175327390,107450598,258426718,71231808954,17949024249,444269,108302269995,34722550231,1,4,1,1,6,3,5473,51036,26809,118,61,2118422110365


fixed_p4_d3000%5000,3511977836,25029243423,14294078339,87237755,342881751,109037524,5222451,1782382547764,24338030314,484351,1823500624302,47081778479,1,4,1,1,6,3,3511,25028,14292,118,61,2872325735402
fixed_p2_d3000%5000,3602936436,25566098641,14385850251,86495176,188493104,105835585,447438525,28906458615,15463095914,392523,73486726306,29913778537,1,4,1,1,6,3,3602,25565,14384,118,61,1825079661447
fixed_p1_jvm_d0%0,16121979,28564513,21342239,3083199641,3832617284,3360492773,320974842,29023484311,17910049945,455439,90778130652,34647397701,1,4,1,1,6,3,0,0,0,118,61,2113781350451
fixed_p1_jvm_d0%0,16342534,32216680,21385511,3052319550,3719619766,3380302141,268956450,39114849826,17867141262,498398,84518062137,34564444701,1,4,1,1,6,3,0,0,0,118,61,2108718951259
fixed_p1_jvm_d0%0,17087416,32075932,21355049,2922815154,3891259509,3369926387,279419125,28006981941,18047104274,512401,90365412335,34912889849,1,4,1,1,6,3,0,0,0,118,61,2129990931794
