Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
7 - 32 - 32 - 0
9 - 32 - 32 - 0
14 - 32 - 25 - 8
16 - 32 - 18 - 17
19 - 32 - 10 - 23
22 - 32 - 5 - 28
25 - 32 - 5 - 25
28 - 32 - 12 - 19
31 - 32 - 17 - 14
33 - 32 - 22 - 9
35 - 32 - 26 - 5
37 - 32 - 28 - 4
39 - 32 - 27 - 6
41 - 32 - 22 - 14
45 - 32 - 14 - 23
48 - 32 - 8 - 30
51 - 32 - 0 - 38
55 - 32 - 2 - 39
60 - 32 - 2 - 44
64 - 32 - 4 - 47
68 - 32 - 5 - 46
71 - 32 - 7 - 41
75 - 32 - 6 - 42
79 - 32 - 5 - 42
83 - 32 - 5 - 40
87 - 32 - 5 - 41
90 - 32 - 5 - 41
93 - 32 - 3 - 43
Elapsed - Replicas - Running - Unavailable
2 - 32 - 32 - 0
4 - 32 - 32 - 0
6 - 32 - 32 - 0
8 - 32 - 32 - 1
11 - 32 - 22 - 12
14 - 32 - 13 - 20
17 - 32 - 6 - 26
22 - 32 - 12 - 19
26 - 32 - 18 - 13
28 - 32 - 24 - 6
32 - 32 - 30 - 1
34 - 32 - 26 - 7
36 - 32 - 21 - 10
39 - 32 - 16 - 17
41 - 32 - 11 - 22
43 - 32 - 4 - 29
47 - 32 - 3 - 29
51 - 32 - 10 - 22
55 - 32 - 13 - 20
58 - 32 - 19 - 15
60 - 32 - 23 - 10
63 - 32 - 22 - 13
65 - 32 - 18 - 16
67 - 32 - 15 - 22
70 - 32 - 10 - 26
72 - 32 - 6 - 30
74 - 32 - 4 - 32
77 - 32 - 2 - 35
79 - 32 - 3 - 35
Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
7 - 32 - 32 - 0
9 - 32 - 32 - 0
13 - 32 - 24 - 9
16 - 32 - 18 - 15
18 - 32 - 11 - 22
22 - 32 - 4 - 29
28 - 32 - 10 - 19
33 - 32 - 16 - 16
35 - 32 - 18 - 17
40 - 32 - 13 - 22
42 - 32 - 11 - 23
45 - 32 - 4 - 31
51 - 32 - 0 - 35
57 - 32 - 1 - 38
63 - 32 - 2 - 38
68 - 32 - 4 - 37
74 - 32 - 4 - 42
81 - 32 - 5 - 46
89 - 32 - 5 - 48
96 - 32 - 4 - 51
105 - 32 - 4 - 52
111 - 32 - 3 - 55
119 - 32 - 1 - 58
125 - 32 - 0 - 61
131 - 32 - 0 - 61
136 - 32 - 0 - 59
141 - 32 - 0 - 57
145 - 32 - 0 - 54
151 - 32 - 0 - 51
156 - 32 - 0 - 49
161 - 32 - 1 - 44
168 - 32 - 1 - 41
Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
7 - 32 - 32 - 0
9 - 32 - 32 - 1
12 - 32 - 23 - 11
15 - 32 - 16 - 17
18 - 32 - 10 - 23
20 - 32 - 0 - 31
24 - 32 - 5 - 25
27 - 32 - 10 - 20
32 - 32 - 20 - 11
34 - 32 - 26 - 5
36 - 32 - 27 - 6
38 - 32 - 26 - 7
40 - 32 - 18 - 14
44 - 32 - 13 - 21
46 - 32 - 5 - 28
49 - 32 - 6 - 26
52 - 32 - 10 - 22
55 - 32 - 15 - 22
59 - 32 - 17 - 19
64 - 32 - 20 - 22
69 - 32 - 13 - 25
71 - 32 - 11 - 23
75 - 32 - 10 - 29
79 - 32 - 4 - 33
83 - 32 - 0 - 40
Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
7 - 32 - 32 - 0
10 - 32 - 32 - 0
13 - 32 - 32 - 1
15 - 32 - 22 - 11
18 - 32 - 15 - 18
20 - 32 - 10 - 24
24 - 32 - 9 - 22
26 - 32 - 12 - 19
28 - 32 - 18 - 13
31 - 32 - 25 - 6
33 - 32 - 30 - 1
36 - 32 - 31 - 2
38 - 32 - 25 - 7
40 - 32 - 20 - 13
42 - 32 - 14 - 19
45 - 32 - 6 - 27
48 - 32 - 0 - 32
52 - 32 - 5 - 28
56 - 32 - 11 - 26
59 - 32 - 15 - 23
62 - 32 - 19 - 23
66 - 32 - 19 - 24
71 - 32 - 16 - 29
74 - 32 - 12 - 34
79 - 32 - 8 - 39
82 - 32 - 3 - 42
84 - 32 - 2 - 45
Elapsed - Replicas - Running - Unavailable
1 - 32 - 32 - 0
3 - 32 - 32 - 0
5 - 32 - 32 - 0
8 - 32 - 32 - 0
12 - 32 - 32 - 1
15 - 32 - 22 - 11
18 - 32 - 15 - 19
21 - 32 - 6 - 28
27 - 32 - 4 - 27
30 - 32 - 11 - 19
35 - 32 - 17 - 14
37 - 32 - 23 - 7
40 - 32 - 28 - 3
42 - 32 - 24 - 9
44 - 32 - 20 - 14
47 - 32 - 13 - 22
51 - 32 - 3 - 32
54 - 32 - 1 - 34
59 - 32 - 2 - 38
63 - 32 - 2 - 43
68 - 32 - 3 - 46
72 - 32 - 4 - 48
76 - 32 - 4 - 50
81 - 32 - 4 - 50
85 - 32 - 3 - 50
89 - 32 - 3 - 50
93 - 32 - 1 - 54
97 - 32 - 2 - 54
102 - 32 - 3 - 51
105 - 32 - 3 - 47
109 - 32 - 4 - 47
114 - 32 - 4 - 43
117 - 32 - 5 - 38
121 - 32 - 7 - 30
123 - 32 - 7 - 29
127 - 32 - 9 - 25
130 - 32 - 10 - 25
133 - 32 - 13 - 23
136 - 32 - 14 - 21
139 - 32 - 15 - 18
141 - 32 - 21 - 12
144 - 32 - 25 - 7
146 - 32 - 29 - 2
148 - 32 - 32 - 0
150 - 32 - 32 - 0
152 - 32 - 32 - 0
154 - 32 - 32 - 0
157 - 32 - 32 - 0
159 - 32 - 32 - 0
161 - 32 - 32 - 0
163 - 32 - 32 - 0
166 - 32 - 32 - 0
168 - 32 - 32 - 0
170 - 32 - 32 - 0
172 - 32 - 32 - 0
174 - 32 - 32 - 0
176 - 32 - 32 - 0
179 - 32 - 32 - 0
181 - 32 - 32 - 0
183 - 32 - 32 - 0
185 - 32 - 32 - 0
187 - 32 - 32 - 0
189 - 32 - 32 - 0
191 - 32 - 32 - 0
194 - 32 - 32 - 0
196 - 32 - 32 - 0
198 - 32 - 32 - 0
200 - 32 - 32 - 0
202 - 32 - 32 - 0
205 - 32 - 32 - 0
207 - 32 - 32 - 0
209 - 32 - 32 - 0
211 - 32 - 32 - 0
213 - 32 - 32 - 0
215 - 32 - 32 - 0
217 - 32 - 32 - 0
220 - 32 - 32 - 0
222 - 32 - 32 - 0
224 - 32 - 32 - 0
226 - 32 - 32 - 0
229 - 32 - 32 - 0
231 - 32 - 32 - 0
233 - 32 - 32 - 0
235 - 32 - 32 - 0
237 - 32 - 32 - 0
240 - 32 - 32 - 0
242 - 32 - 32 - 0
244 - 32 - 32 - 0
246 - 32 - 32 - 0
248 - 32 - 32 - 0
251 - 32 - 32 - 0
253 - 32 - 32 - 0
255 - 32 - 32 - 0
257 - 32 - 32 - 0
260 - 32 - 32 - 0
262 - 32 - 32 - 0
264 - 32 - 32 - 0
266 - 32 - 32 - 0
268 - 32 - 32 - 0
270 - 32 - 32 - 0
273 - 32 - 32 - 0
275 - 32 - 32 - 0
277 - 32 - 32 - 0
279 - 32 - 32 - 0
281 - 32 - 32 - 0
283 - 32 - 32 - 0
286 - 32 - 32 - 0
288 - 32 - 32 - 0
290 - 32 - 32 - 0
292 - 32 - 32 - 0
294 - 32 - 32 - 0
296 - 32 - 32 - 0
299 - 32 - 32 - 0
301 - 32 - 32 - 0
303 - 32 - 32 - 0
305 - 32 - 32 - 0
307 - 32 - 32 - 0
309 - 32 - 32 - 0
311 - 32 - 32 - 0
314 - 32 - 32 - 0
316 - 32 - 32 - 0
318 - 32 - 32 - 0
320 - 32 - 32 - 0
322 - 32 - 32 - 0
324 - 32 - 32 - 0
326 - 32 - 32 - 0
329 - 32 - 32 - 0
331 - 32 - 32 - 0
333 - 32 - 32 - 0
335 - 32 - 32 - 0
337 - 32 - 32 - 0
339 - 32 - 32 - 0
341 - 32 - 32 - 0
343 - 32 - 32 - 0
345 - 32 - 32 - 0
348 - 32 - 32 - 0
350 - 32 - 32 - 0
352 - 32 - 32 - 0
354 - 32 - 32 - 0
356 - 32 - 32 - 0
359 - 32 - 32 - 0
361 - 32 - 32 - 0
363 - 32 - 32 - 0
365 - 32 - 32 - 0
367 - 32 - 32 - 0
369 - 32 - 32 - 0
372 - 32 - 32 - 0
374 - 32 - 32 - 0
376 - 32 - 32 - 0
378 - 32 - 32 - 0
380 - 32 - 32 - 0
382 - 32 - 32 - 0
384 - 32 - 32 - 0
386 - 32 - 32 - 0
388 - 32 - 32 - 0
390 - 32 - 32 - 0
393 - 32 - 32 - 0
395 - 32 - 32 - 0
397 - 32 - 32 - 0
399 - 32 - 32 - 0
402 - 32 - 32 - 0
404 - 32 - 32 - 0
406 - 32 - 32 - 0
408 - 32 - 32 - 0
410 - 32 - 32 - 0
412 - 32 - 32 - 0
415 - 32 - 32 - 0
417 - 32 - 32 - 0
419 - 32 - 32 - 0
421 - 32 - 32 - 0
423 - 32 - 32 - 0
425 - 32 - 32 - 0
428 - 32 - 32 - 0
430 - 32 - 32 - 0
432 - 32 - 32 - 0
434 - 32 - 32 - 0
436 - 32 - 32 - 0
438 - 32 - 32 - 0
441 - 32 - 32 - 0
443 - 32 - 32 - 0
445 - 32 - 32 - 0
447 - 32 - 32 - 0
449 - 32 - 32 - 0
451 - 32 - 32 - 0
453 - 32 - 32 - 0
455 - 32 - 32 - 0
458 - 32 - 32 - 0
460 - 32 - 32 - 0
462 - 32 - 32 - 0
464 - 32 - 32 - 0
467 - 32 - 32 - 0
469 - 32 - 32 - 0
471 - 32 - 32 - 0
473 - 32 - 32 - 0
475 - 32 - 32 - 0
477 - 32 - 32 - 0
480 - 32 - 32 - 0
482 - 32 - 32 - 0
484 - 32 - 32 - 0
486 - 32 - 32 - 0
488 - 32 - 32 - 0
491 - 32 - 32 - 0
493 - 32 - 32 - 0
495 - 32 - 32 - 0
498 - 32 - 32 - 0
500 - 32 - 32 - 0
502 - 32 - 32 - 0
504 - 32 - 32 - 0
506 - 32 - 32 - 0
508 - 32 - 32 - 0
511 - 32 - 32 - 0
513 - 32 - 32 - 0
515 - 32 - 32 - 0
517 - 32 - 32 - 0
519 - 32 - 32 - 0
521 - 32 - 32 - 0
524 - 32 - 32 - 0
526 - 32 - 32 - 0
528 - 32 - 32 - 0
530 - 32 - 32 - 0
532 - 32 - 32 - 0
534 - 32 - 32 - 0
537 - 32 - 32 - 0
539 - 32 - 32 - 0
541 - 32 - 32 - 0
543 - 32 - 32 - 0
545 - 32 - 32 - 0
548 - 32 - 32 - 0
550 - 32 - 32 - 0
552 - 32 - 32 - 0
554 - 32 - 32 - 0
556 - 32 - 32 - 0
558 - 32 - 32 - 0
561 - 32 - 32 - 0
563 - 32 - 32 - 0
565 - 32 - 32 - 0
567 - 32 - 32 - 0
569 - 32 - 32 - 0
571 - 32 - 32 - 0
573 - 32 - 32 - 0
575 - 32 - 32 - 0
578 - 32 - 32 - 0
580 - 32 - 32 - 0
582 - 32 - 32 - 0
584 - 32 - 32 - 0
586 - 32 - 32 - 0
588 - 32 - 32 - 0
591 - 32 - 32 - 0
593 - 32 - 32 - 0
595 - 32 - 32 - 0
597 - 32 - 32 - 0
599 - 32 - 32 - 0
601 - 32 - 32 - 0
603 - 32 - 32 - 0
606 - 32 - 32 - 0
608 - 32 - 32 - 0
610 - 32 - 32 - 0
612 - 32 - 32 - 0
614 - 32 - 32 - 0
617 - 32 - 32 - 0
619 - 32 - 32 - 0
621 - 32 - 32 - 0
623 - 32 - 32 - 0
625 - 32 - 32 - 0
627 - 32 - 32 - 0
629 - 32 - 32 - 0
632 - 32 - 32 - 0
634 - 32 - 32 - 0
636 - 32 - 32 - 0
638 - 32 - 32 - 0
640 - 32 - 32 - 0
642 - 32 - 32 - 0
644 - 32 - 32 - 0
647 - 32 - 32 - 0
649 - 32 - 32 - 0
651 - 32 - 32 - 0
653 - 32 - 32 - 0
655 - 32 - 32 - 0
657 - 32 - 32 - 0
659 - 32 - 32 - 0
662 - 32 - 32 - 0
664 - 32 - 32 - 0
666 - 32 - 32 - 0
668 - 32 - 32 - 0
671 - 32 - 32 - 0
673 - 32 - 32 - 0
675 - 32 - 32 - 0
677 - 32 - 32 - 0
679 - 32 - 32 - 0
681 - 32 - 32 - 0
684 - 32 - 32 - 0
686 - 32 - 32 - 0
688 - 32 - 32 - 0
690 - 32 - 32 - 0
692 - 32 - 32 - 0
694 - 32 - 32 - 0
697 - 32 - 32 - 0
699 - 32 - 32 - 0
701 - 32 - 32 - 0
703 - 32 - 32 - 0
705 - 32 - 32 - 0
707 - 32 - 32 - 0
710 - 32 - 32 - 0
712 - 32 - 32 - 0
714 - 32 - 32 - 0
716 - 32 - 32 - 0
718 - 32 - 32 - 0
720 - 32 - 32 - 0
722 - 32 - 32 - 0
724 - 32 - 32 - 0
726 - 32 - 32 - 0
729 - 32 - 32 - 0
731 - 32 - 32 - 0
733 - 32 - 32 - 0
735 - 32 - 32 - 0
737 - 32 - 32 - 0
739 - 32 - 32 - 0
741 - 32 - 32 - 0
743 - 32 - 32 - 0
746 - 32 - 32 - 0
748 - 32 - 32 - 0
750 - 32 - 32 - 0
752 - 32 - 32 - 0
754 - 32 - 32 - 0
757 - 32 - 32 - 0
759 - 32 - 32 - 0
761 - 32 - 32 - 0
763 - 32 - 32 - 0
765 - 32 - 32 - 0
767 - 32 - 32 - 0
770 - 32 - 32 - 0
