Elapsed - Replicas - Running - Unavailable
1 - 64 - 64 - 0
3 - 64 - 64 - 0
5 - 64 - 64 - 0
7 - 64 - 64 - 0
10 - 64 - 62 - 2
12 - 64 - 62 - 4
15 - 64 - 59 - 3
18 - 64 - 59 - 6
22 - 64 - 55 - 10
26 - 64 - 55 - 8
29 - 64 - 59 - 5
32 - 64 - 59 - 7
35 - 64 - 56 - 7
37 - 64 - 62 - 2
40 - 64 - 59 - 6
42 - 64 - 58 - 7
45 - 64 - 59 - 6
47 - 64 - 61 - 4
50 - 64 - 58 - 9
53 - 64 - 60 - 4
56 - 64 - 62 - 2
59 - 64 - 63 - 0
61 - 64 - 61 - 2
64 - 64 - 62 - 3
66 - 64 - 61 - 3
68 - 64 - 57 - 7
71 - 64 - 57 - 7
73 - 64 - 54 - 10
76 - 64 - 54 - 11
79 - 64 - 51 - 16
82 - 64 - 50 - 18
85 - 64 - 47 - 22
89 - 64 - 47 - 22
93 - 64 - 44 - 28
96 - 64 - 43 - 28
100 - 64 - 44 - 31
103 - 64 - 43 - 33
107 - 64 - 41 - 35
111 - 64 - 41 - 35
114 - 64 - 41 - 35
118 - 64 - 40 - 37
123 - 64 - 41 - 35
126 - 64 - 40 - 34
130 - 64 - 40 - 34
134 - 64 - 38 - 34
137 - 64 - 38 - 37
140 - 64 - 37 - 37
144 - 64 - 33 - 39
148 - 64 - 31 - 41
152 - 64 - 31 - 39
Elapsed - Replicas - Running - Unavailable
1 - 64 - 64 - 0
3 - 64 - 64 - 0
5 - 64 - 64 - 0
7 - 64 - 64 - 0
10 - 64 - 63 - 1
12 - 64 - 57 - 8
16 - 64 - 56 - 7
20 - 64 - 57 - 7
24 - 64 - 61 - 4
27 - 64 - 59 - 4
31 - 64 - 56 - 8
33 - 64 - 60 - 3
36 - 64 - 63 - 0
38 - 64 - 60 - 3
41 - 64 - 61 - 3
44 - 64 - 62 - 4
47 - 64 - 63 - 2
50 - 64 - 64 - 1
52 - 64 - 64 - 1
55 - 64 - 64 - 0
57 - 64 - 64 - 0
60 - 64 - 63 - 0
62 - 64 - 64 - 2
65 - 64 - 64 - 0
67 - 64 - 60 - 4
70 - 64 - 60 - 6
73 - 64 - 57 - 7
76 - 64 - 54 - 10
78 - 64 - 54 - 10
80 - 64 - 51 - 17
83 - 64 - 52 - 17
87 - 64 - 51 - 23
93 - 64 - 49 - 22
97 - 64 - 48 - 25
103 - 64 - 48 - 28
109 - 64 - 48 - 31
115 - 64 - 44 - 37
119 - 64 - 40 - 39
124 - 64 - 36 - 39
129 - 64 - 36 - 34
134 - 64 - 36 - 36
138 - 64 - 38 - 34
142 - 64 - 33 - 38
146 - 64 - 30 - 40
149 - 64 - 31 - 38
153 - 64 - 36 - 36
Elapsed - Replicas - Running - Unavailable
1 - 64 - 64 - 0
3 - 64 - 64 - 0
6 - 64 - 64 - 0
8 - 64 - 64 - 0
11 - 64 - 60 - 6
15 - 64 - 57 - 8
20 - 64 - 52 - 13
23 - 64 - 55 - 7
27 - 64 - 58 - 6
30 - 64 - 57 - 6
33 - 64 - 63 - 2
36 - 64 - 60 - 3
39 - 64 - 58 - 8
42 - 64 - 62 - 5
45 - 64 - 57 - 7
50 - 64 - 59 - 5
52 - 64 - 57 - 5
54 - 64 - 63 - 1
57 - 64 - 64 - 1
59 - 64 - 64 - 1
62 - 64 - 64 - 2
66 - 64 - 62 - 2
68 - 64 - 58 - 6
71 - 64 - 58 - 7
74 - 64 - 55 - 9
76 - 64 - 51 - 15
80 - 64 - 52 - 17
84 - 64 - 51 - 20
89 - 64 - 49 - 23
94 - 64 - 48 - 27
98 - 64 - 45 - 32
104 - 64 - 45 - 32
109 - 64 - 43 - 33
114 - 64 - 40 - 38
118 - 64 - 40 - 40
123 - 64 - 40 - 38
128 - 64 - 40 - 37
132 - 64 - 37 - 40
137 - 64 - 36 - 39
142 - 64 - 34 - 41
147 - 64 - 33 - 43
Elapsed - Replicas - Running - Unavailable
1 - 64 - 64 - 0
4 - 64 - 64 - 0
6 - 64 - 64 - 0
9 - 64 - 64 - 0
11 - 64 - 64 - 0
16 - 64 - 58 - 8
20 - 64 - 45 - 22
27 - 64 - 46 - 16
35 - 64 - 54 - 11
40 - 64 - 58 - 5
48 - 64 - 58 - 8
55 - 64 - 52 - 13
62 - 64 - 46 - 20
66 - 64 - 43 - 23
72 - 64 - 41 - 24
78 - 64 - 44 - 23
86 - 64 - 36 - 30
93 - 64 - 35 - 31
99 - 64 - 33 - 33
107 - 64 - 31 - 38
111 - 64 - 28 - 45
119 - 64 - 30 - 44
127 - 64 - 25 - 53
132 - 64 - 25 - 51
138 - 64 - 26 - 55
146 - 64 - 29 - 52
154 - 64 - 31 - 50
