Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
3 - 0 - 0 - 0
5 - 1 - 0 - 0
7 - 1 - 1 - 0
9 - 1 - 1 - 0
10 - 2 - 1 - 1
14 - 2 - 1 - 0
16 - 2 - 2 - 0
18 - 2 - 2 - 0
20 - 2 - 2 - 0
22 - 2 - 0 - 2
24 - 2 - 1 - 3
26 - 4 - 1 - 3
29 - 4 - 3 - 1
32 - 4 - 2 - 2
34 - 4 - 0 - 3
36 - 4 - 3 - 2
38 - 4 - 3 - 2
40 - 4 - 3 - 2
44 - 4 - 1 - 3
46 - 4 - 1 - 4
48 - 4 - 2 - 3
51 - 4 - 1 - 3
53 - 4 - 1 - 3
55 - 4 - 1 - 4
57 - 4 - 2 - 4
60 - 4 - 3 - 3
63 - 4 - 3 - 3
67 - 4 - 3 - 2
70 - 4 - 2 - 2
72 - 4 - 3 - 2
75 - 4 - 2 - 2
77 - 4 - 2 - 2
79 - 4 - 1 - 4
81 - 4 - 0 - 5
84 - 4 - 1 - 4
86 - 4 - 1 - 4
89 - 4 - 0 - 4
91 - 4 - 2 - 3
93 - 4 - 2 - 5
96 - 4 - 3 - 4
99 - 4 - 2 - 3
103 - 4 - 3 - 1
105 - 4 - 3 - 1
108 - 4 - 0 - 3
110 - 4 - 1 - 4
112 - 4 - 2 - 3
115 - 4 - 1 - 3
117 - 4 - 1 - 3
119 - 4 - 1 - 3
122 - 4 - 1 - 5
125 - 4 - 2 - 3
127 - 4 - 3 - 3
130 - 4 - 2 - 5
133 - 4 - 3 - 2
136 - 4 - 1 - 2
138 - 4 - 2 - 2
140 - 4 - 3 - 1
142 - 4 - 1 - 4
145 - 4 - 2 - 3
150 - 4 - 1 - 3
152 - 4 - 1 - 3
154 - 4 - 0 - 4
156 - 4 - 1 - 4
158 - 4 - 2 - 4
161 - 4 - 2 - 4
164 - 4 - 2 - 3
167 - 4 - 2 - 2
169 - 4 - 3 - 2
172 - 4 - 3 - 1
174 - 4 - 2 - 2
176 - 4 - 2 - 3
179 - 4 - 0 - 4
183 - 4 - 1 - 3
185 - 4 - 1 - 3
187 - 4 - 1 - 3
190 - 4 - 0 - 3
192 - 4 - 1 - 4
194 - 4 - 2 - 4
196 - 4 - 2 - 5
201 - 4 - 1 - 4
204 - 4 - 2 - 2
208 - 4 - 3 - 1
210 - 4 - 1 - 4
213 - 4 - 2 - 3
215 - 4 - 2 - 3
217 - 4 - 2 - 3
220 - 4 - 1 - 3
222 - 4 - 1 - 3
224 - 4 - 0 - 4
226 - 4 - 2 - 3
228 - 4 - 2 - 3
230 - 4 - 2 - 4
233 - 4 - 0 - 7
237 - 4 - 2 - 3
239 - 4 - 3 - 2
242 - 4 - 3 - 3
245 - 4 - 2 - 3
247 - 4 - 3 - 2
249 - 4 - 3 - 2
251 - 4 - 1 - 5
256 - 4 - 1 - 4
258 - 4 - 1 - 3
260 - 4 - 2 - 3
263 - 4 - 1 - 4
265 - 4 - 1 - 3
267 - 4 - 1 - 5
270 - 4 - 3 - 3
273 - 4 - 2 - 2
275 - 4 - 2 - 2
277 - 4 - 1 - 4
281 - 4 - 3 - 2
283 - 4 - 3 - 1
285 - 4 - 3 - 2
288 - 4 - 1 - 4
291 - 4 - 1 - 4
293 - 4 - 1 - 4
296 - 4 - 0 - 3
298 - 4 - 1 - 3
300 - 4 - 1 - 3
302 - 4 - 1 - 4
304 - 4 - 1 - 6
307 - 4 - 3 - 4
311 - 4 - 2 - 3
315 - 4 - 3 - 1
317 - 4 - 3 - 1
319 - 4 - 3 - 2
323 - 4 - 1 - 3
325 - 4 - 1 - 3
327 - 4 - 1 - 4
329 - 4 - 1 - 3
331 - 4 - 1 - 3
333 - 4 - 1 - 4
335 - 4 - 0 - 5
337 - 4 - 1 - 6
340 - 4 - 1 - 6
342 - 4 - 1 - 6
346 - 4 - 0 - 5
348 - 4 - 3 - 2
350 - 4 - 4 - 1
352 - 4 - 4 - 1
356 - 4 - 1 - 2
358 - 4 - 3 - 1
360 - 4 - 3 - 1
363 - 4 - 1 - 3
365 - 4 - 1 - 3
367 - 4 - 0 - 4
369 - 4 - 0 - 5
371 - 4 - 1 - 4
373 - 4 - 1 - 4
375 - 4 - 1 - 6
379 - 4 - 1 - 6
Elapsed - Replicas - Running - Unavailable
1 - 0 - 0 - 0
3 - 0 - 0 - 0
4 - 1 - 0 - 1
6 - 1 - 1 - 0
8 - 1 - 1 - 0
10 - 2 - 1 - 1
13 - 2 - 2 - 0
15 - 2 - 2 - 0
17 - 2 - 2 - 0
19 - 2 - 2 - 0
21 - 2 - 1 - 1
23 - 2 - 1 - 1
25 - 4 - 1 - 3
27 - 4 - 1 - 2
30 - 4 - 2 - 2
32 - 4 - 2 - 2
33 - 4 - 1 - 4
36 - 4 - 2 - 3
38 - 4 - 3 - 2
40 - 4 - 3 - 2
43 - 4 - 2 - 5
46 - 4 - 2 - 3
48 - 4 - 2 - 3
49 - 4 - 2 - 3
52 - 4 - 2 - 2
54 - 4 - 1 - 5
58 - 4 - 2 - 4
60 - 4 - 3 - 3
63 - 4 - 3 - 2
65 - 4 - 3 - 1
67 - 4 - 3 - 1
69 - 4 - 2 - 4
71 - 4 - 3 - 2
73 - 4 - 3 - 2
